Activity,Topic,Standard,Engine,Status,Case code,Notes
The Sorting Bin Report,Physical Properties of Matter,3.6A,Assembly Deck,Tested with students,3.6A-AD,Piloted with a grade 3 student on 23 Sept. That pilot produced the Case File and the Chief's Debrief.
The Raft Load,Physical Properties of Matter,3.6A,Group Chat,Needs testing,3.6A,
"Sticks to Some, Not All",Physical Properties of Matter,3.6A,Signal Check,Needs testing,3.6A-SC,
Signal Defense: Physical Properties of Matter,Physical Properties of Matter,3.6A,Signal Ops,Needs testing,3.6A-SD,
Boat Load Test,Physical Properties of Matter,3.6A,Simulation Lab,Needs testing,3.6A-SL,
Rice Thinks She Is a Liquid,"Solids, Liquids, and Gases",3.6B,Group Chat,Needs testing,3.6B,
Does It Pour Like Water?,"Solids, Liquids, and Gases",3.6B,Signal Check,Needs testing,3.6B-SC,
Signal Defense: States of Matter,"Solids, Liquids, and Gases",3.6B,Signal Ops,Needs testing,3.6B-SD,
The Leaky Glasses,Changes in State of Matter,3.6C,Group Chat,Needs testing,3.6C,
"Leaky Can, or Something Else?",Changes in State of Matter,3.6C,Signal Check,Needs testing,3.6C-SC,
Signal Defense: Changes of State,Changes in State of Matter,3.6C,Signal Ops,Needs testing,3.6C-SD,
Ice Melt Race,Changes in State of Matter,3.6C,Simulation Lab,Needs testing,3.6C-SL,
The All-Steel Umbrella,Combining Materials,3.6D,Group Chat,Needs testing,3.6D,
Signal Defense: Matter & Material Properties,Combining Materials,3.6D,Signal Ops,Needs testing,3.6D-SD,
A Bigger Ball Will Not Fix It,Energy,3.8B,Group Chat,Needs testing,3.8B,
Nothing Here Is Plugged In,Energy,3.8A,Group Chat,Needs testing,3.8A,
"Bigger Ball, Bigger Hit?",Energy,3.8B,Signal Check,Needs testing,3.8B-SC,
Does It Need a Plug?,Energy,3.8A,Signal Check,Needs testing,3.8A-SC,
Signal Defense: Forms of Energy,Energy,3.8A,Signal Ops,Needs testing,3.8A-SD,
Signal Defense: Mechanical Energy,Energy,3.8B,Signal Ops,Needs testing,3.8B-SD,
Ramp Test,Energy,3.8B,Simulation Lab,Needs testing,3.8B-SL,
Feather Says Gravity Skips Her,Force,3.7A,Group Chat,Needs testing,3.7A,
Wallop Only Knows One Setting,Force,3.7B,Group Chat,Needs testing,3.7B,
Magnet Maze,Force,3.7A,Mission Map,Needs testing,3.3-MM,
Does Something Skip Gravity?,Force,3.7A,Signal Check,Needs testing,3.7A-SC,
Win by Hitting Harder?,Force,3.7B,Signal Check,Needs testing,3.7B-SC,
Signal Defense: Forces and Motion,Force,3.7B,Signal Ops,Needs testing,3.7B-SD,
Signal Defense: Types of Forces,Force,3.7A,Signal Ops,Needs testing,3.7A-SD,
Magnet Pull Test,Force,3.7A,Simulation Lab,Needs testing,3.7A-SL,
Jupiter Says He Should Be First,The Solar System,3.9B,Group Chat,Needs testing,3.9B,
The Moon Is Tied to the Wrong Thing,The Solar System,3.9A,Group Chat,Needs testing,3.9A,
Who Goes First?,The Solar System,3.9B,Signal Check,Needs testing,3.9B-SC,
Signal Defense: Earth's Rotation (Day & Night),The Solar System,3.9A,Signal Ops,Needs testing,3.9A-SD,
Signal Defense: The Solar System,The Solar System,3.9B,Signal Ops,Needs testing,3.9B-SD,
One of You Is Making This Up,Weather,3.10A,Group Chat,Needs testing,3.10A,
Weather Station Lockdown,Weather,3.10A,Mission Map,Needs testing,3.2-MM,
Just a Guess?,Weather,3.10A,Signal Check,Needs testing,3.10A-SC,
Signal Defense: Weather Tools & Measurement,Weather,3.10A,Signal Ops,Needs testing,3.10A-SD,
What Is Soil Even Made Of?,Soil,3.10B,Group Chat,Needs testing,3.10B,
Just Dirt?,Soil,3.10B,Signal Check,Needs testing,3.10B-SC,
Signal Defense: Soil Composition,Soil,3.10B,Signal Ops,Needs testing,3.10B-SD,
That Cannot Be the Same Hill,"Volcanic Eruptions, Earthquakes, and Landslides",3.10C,Group Chat,Needs testing,3.10C,
Sudden or Slow?,"Volcanic Eruptions, Earthquakes, and Landslides",3.10C,Signal Check,Needs testing,3.10C-SC,
Signal Defense: Changes to Earth's Surface,"Volcanic Eruptions, Earthquakes, and Landslides",3.10C,Signal Ops,Needs testing,3.10C-SD,
"It Is Fine, I Will Just Recycle It",Natural Resources,3.11C,Group Chat,Needs testing,3.11C,
Nothing In This Room Came From Nature,Natural Resources,3.11A,Group Chat,Needs testing,3.11A,
The Barrel Was Full in April,Natural Resources,3.11B,Group Chat,Needs testing,3.11B,
Does Water Ever Run Low?,Natural Resources,3.11B,Signal Check,Needs testing,3.11B-SC,
Signal Defense: Conserving Natural Resources,Natural Resources,3.11B,Signal Ops,Needs testing,3.11B-SD,
Signal Defense: Natural Resources,Natural Resources,3.11A,Signal Ops,Needs testing,3.11A-SD,
"Signal Defense: Reduce, Reuse, Recycle",Natural Resources,3.11C,Signal Ops,Needs testing,3.11C-SD,
Cleo Says Everything Died in November,Environmental Impacts on Animals,3.12A,Group Chat,Needs testing,3.12A,
Where Do They Go in November?,Environmental Impacts on Animals,3.12A,Signal Check,Needs testing,3.12A-SC,
Signal Defense: Animal Behaviors & Adaptation,Environmental Impacts on Animals,3.12A,Signal Ops,Needs testing,3.12A-SD,
The Herons Will Just Eat Something Else,Food Chain,3.12B,Group Chat,Needs testing,3.12B,
Rescue the Pollination Path,Food Chain,3.12B,Mission Map,Needs testing,3.1-MM,
What Happens If the Frogs Disappear?,Food Chain,3.12B,Signal Check,Needs testing,3.12B-SC,
Signal Defense: Food Chains & Energy Flow,Food Chain,3.12B,Signal Ops,Needs testing,3.12B-SD,
The Flood Ruined Everything,Floods and Droughts,3.12C,Group Chat,Needs testing,3.12C,
Unlock the Habitat Trail,Floods and Droughts,3.12C,Mission Map,Needs testing,3.4-MM,
Was the Pond Really Ruined?,Floods and Droughts,3.12C,Signal Check,Needs testing,3.12C-SC,
Signal Defense: Environmental Changes,Floods and Droughts,3.12C,Signal Ops,Needs testing,3.12C-SD,
